image_id,breed
7ede553357,pantherophis-obsoletus
3500b219e4,heterodon-platirhinos
d43a78d6d9,pantherophis-obsoletus
1f36f26994,nerodia-sipedon
8cb85fc58e,pantherophis-obsoletus
7176bcfe9a,lampropeltis-triangulum
27f2d0f582,pantherophis-obsoletus
43eebba928,storeria-dekayi
180a56f143,heterodon-platirhinos
07fd20e8bd,agkistrodon-piscivorus
d6145eb8ef,pantherophis-obsoletus
43cf88006f,pantherophis-obsoletus
545094975f,crotalus-atrox
de232d35ce,pantherophis-obsoletus
f49f11daf4,lampropeltis-californiae
be70c24805,crotalus-ruber
8a68c61789,rhinocheilus-lecontei
e4a0afbde5,crotalus-atrox
5d046e4a57,heterodon-platirhinos
9450d432f1,agkistrodon-piscivorus
24ae6b28c9,crotalus-atrox
bbbcf461fd,heterodon-platirhinos
25f864a129,crotalus-atrox
9d63e29dab,pantherophis-obsoletus
560a7820ef,agkistrodon-contortrix
261a672081,pituophis-catenifer
e08cecfcc8,thamnophis-sirtalis
dcbaefa9de,pantherophis-obsoletus
4757eec719,storeria-dekayi
7a5772b7df,lampropeltis-californiae
756a3734d1,pantherophis-emoryi
bcb51ed4fd,pantherophis-guttatus
b28a9dbd17,thamnophis-sirtalis
84496bd65b,agkistrodon-piscivorus
97254f0a1e,thamnophis-sirtalis
738e860bf3,pantherophis-obsoletus
5b04af2d08,lampropeltis-triangulum
df1007a11e,thamnophis-sirtalis
71e4a3726c,pituophis-catenifer
9ec71badf5,pantherophis-obsoletus
9aaf30ca4e,pantherophis-obsoletus
502dbd30e8,pantherophis-obsoletus
6a0948343e,agkistrodon-contortrix
a9c94931b4,lampropeltis-californiae
94f8b871bc,thamnophis-sirtalis
65be04e1a7,thamnophis-sirtalis
553b5be83f,thamnophis-sirtalis
f156e4b9ad,pantherophis-obsoletus
c195a35480,pituophis-catenifer
ba36d77d65,thamnophis-radix
ac60cb4c64,storeria-dekayi
e99babb9da,thamnophis-sirtalis
3f79415b22,crotalus-ruber
07a7f4b8a2,pantherophis-obsoletus
8713b35996,pantherophis-obsoletus
8161aa3270,nerodia-sipedon
c084141ebb,nerodia-sipedon
3f264dfa93,thamnophis-sirtalis
ac29145967,crotalus-ruber
14cc5c0b07,pantherophis-obsoletus
0d53f3592b,thamnophis-sirtalis
339702c73e,thamnophis-sirtalis
d9282cfc2f,lampropeltis-californiae
7cbb3598a5,opheodrys-aestivus
7d23dd1a25,agkistrodon-piscivorus
302ae16a4f,thamnophis-sirtalis
665ce5599e,pantherophis-obsoletus
7fe9ccee38,lampropeltis-californiae
b4ee296fbe,storeria-dekayi
463302e361,crotalus-horridus
a18b060715,thamnophis-proximus
72b767e027,thamnophis-sirtalis
28c9bd4b10,pituophis-catenifer
a8cf67b3cd,lampropeltis-triangulum
dc0bd440c3,opheodrys-aestivus
1b558cc89f,thamnophis-proximus
23a5181788,heterodon-platirhinos
17e5f4b5bf,crotalus-atrox
45708c6f17,thamnophis-proximus
90e93122c1,crotalus-viridis
9aac958618,lampropeltis-californiae
23f9ca3329,thamnophis-sirtalis
3702f63d72,thamnophis-sirtalis
142b516abc,thamnophis-radix
db55095044,pituophis-catenifer
2532449658,storeria-dekayi
521ce40402,pantherophis-obsoletus
5bdb8079ed,storeria-dekayi
2b88eaac56,thamnophis-radix
f11e311c90,pantherophis-obsoletus
75b79378c3,thamnophis-sirtalis
8f457bca60,pituophis-catenifer
4aae3ed36b,opheodrys-aestivus
7e85692fa2,thamnophis-sirtalis
8557e64d0e,crotalus-horridus
f590310834,thamnophis-sirtalis
6ce6de9def,thamnophis-sirtalis
5e13f84aae,pituophis-catenifer
3f595dc653,pantherophis-obsoletus
28fc7c65cc,thamnophis-sirtalis
2e6627723a,pantherophis-obsoletus
759223778f,crotalus-horridus
68e08979eb,pantherophis-obsoletus
b51b666b0a,pantherophis-obsoletus
1134c2556d,thamnophis-sirtalis
e10bcc9899,agkistrodon-contortrix
4d84d06252,storeria-dekayi
71792ec7f9,pantherophis-obsoletus
87fff43cf4,pantherophis-obsoletus
d0d91b6a16,coluber-constrictor
b1606f2410,thamnophis-sirtalis
f9a3564f88,thamnophis-sirtalis
8bdccf2baf,thamnophis-sirtalis
abbfa54027,crotalus-horridus
ca469b7a27,diadophis-punctatus
95a51a0fcd,pantherophis-obsoletus
8ef78ef2d3,pantherophis-obsoletus
e21af6d4b9,crotalus-atrox
221b1ee2f1,pantherophis-alleghaniensis
b2c3d5d9fb,thamnophis-sirtalis
526c9eac74,pantherophis-obsoletus
a38e41fd76,pantherophis-obsoletus
b2ba21f052,crotalus-horridus
3b9b67ba03,thamnophis-sirtalis
327b772827,lampropeltis-triangulum
2afdb4999f,pantherophis-emoryi
0cbf1992d0,agkistrodon-contortrix
c822ae5d01,pantherophis-obsoletus
5405370c87,pantherophis-obsoletus
092388daba,diadophis-punctatus
99a3b654d0,coluber-constrictor
e0f8e741d4,thamnophis-sirtalis
5d9cf27241,storeria-dekayi
632bed91e6,diadophis-punctatus
83d7c726d0,thamnophis-radix
2555c7e7ce,thamnophis-sirtalis
2b9180fb4f,storeria-occipitomaculata
e211c36384,heterodon-platirhinos
06b96eed56,pantherophis-obsoletus
d8fe032fe4,pantherophis-obsoletus
366c0f8d42,thamnophis-sirtalis
be80579760,pantherophis-guttatus
a4ff6226a3,heterodon-platirhinos
53da6f2a06,pituophis-catenifer
509628b6d3,crotalus-atrox
75206b0c2d,crotalus-ruber
c3e988cbe7,pantherophis-obsoletus
bf3224d5bb,thamnophis-sirtalis
2d45d24990,thamnophis-sirtalis
217a85c6a0,storeria-dekayi
f910b4dafd,thamnophis-sirtalis
dbc89aa6fc,nerodia-sipedon
e0c882d7b5,thamnophis-sirtalis
bbd20396ee,opheodrys-aestivus
a9bd8d4550,storeria-dekayi
f9315c3d9d,lampropeltis-triangulum
c53c61ff1d,agkistrodon-piscivorus
ae76c25b30,crotalus-atrox
0554b687c1,pantherophis-obsoletus
8227ee21d5,thamnophis-sirtalis
e63f970c24,storeria-occipitomaculata
5a7a965d51,pantherophis-obsoletus
6f885777ae,pantherophis-obsoletus
c63d4c04d9,crotalus-horridus
d678d67897,crotalus-horridus
03d156d9ee,heterodon-platirhinos
