snake_type,id,label
nonvenemous,7ede553357,nerodia-sipedon
nonvenemous,3500b219e4,opheodrys-aestivus
nonvenemous,d43a78d6d9,pituophis-catenifer
nonvenemous,1f36f26994,thamnophis-sirtalis
nonvenemous,8cb85fc58e,pituophis-catenifer
nonvenemous,7176bcfe9a,thamnophis-sirtalis
venemous,27f2d0f582,crotalus-atrox
nonvenemous,43eebba928,storeria-dekayi
nonvenemous,180a56f143,storeria-dekayi
nonvenemous,07fd20e8bd,pantherophis-obsoletus
nonvenemous,d6145eb8ef,pantherophis-obsoletus
nonvenemous,43cf88006f,pituophis-catenifer
venemous,545094975f,crotalus-atrox
nonvenemous,de232d35ce,pantherophis-obsoletus
nonvenemous,f49f11daf4,thamnophis-sirtalis
nonvenemous,be70c24805,thamnophis-sirtalis
nonvenemous,8a68c61789,storeria-dekayi
nonvenemous,e4a0afbde5,pantherophis-obsoletus
nonvenemous,5d046e4a57,pantherophis-obsoletus
venemous,9450d432f1,agkistrodon-piscivorus
nonvenemous,24ae6b28c9,thamnophis-sirtalis
nonvenemous,bbbcf461fd,thamnophis-sirtalis
nonvenemous,25f864a129,pituophis-catenifer
nonvenemous,9d63e29dab,storeria-dekayi
nonvenemous,560a7820ef,pantherophis-obsoletus
nonvenemous,261a672081,pituophis-catenifer
nonvenemous,e08cecfcc8,lampropeltis-californiae
nonvenemous,dcbaefa9de,thamnophis-sirtalis
nonvenemous,4757eec719,storeria-dekayi
nonvenemous,7a5772b7df,thamnophis-sirtalis
venemous,756a3734d1,crotalus-atrox
nonvenemous,bcb51ed4fd,lampropeltis-triangulum
nonvenemous,b28a9dbd17,pituophis-catenifer
nonvenemous,84496bd65b,masticophis-flagellum
nonvenemous,97254f0a1e,thamnophis-sirtalis
nonvenemous,738e860bf3,pantherophis-obsoletus
nonvenemous,5b04af2d08,thamnophis-sirtalis
nonvenemous,df1007a11e,lampropeltis-californiae
nonvenemous,71e4a3726c,thamnophis-sirtalis
nonvenemous,9ec71badf5,pantherophis-obsoletus
venemous,9aaf30ca4e,agkistrodon-contortrix
nonvenemous,502dbd30e8,nerodia-erythrogaster
venemous,6a0948343e,crotalus-atrox
nonvenemous,a9c94931b4,nerodia-sipedon
nonvenemous,94f8b871bc,thamnophis-sirtalis
nonvenemous,65be04e1a7,thamnophis-sirtalis
nonvenemous,553b5be83f,thamnophis-sirtalis
nonvenemous,f156e4b9ad,pantherophis-obsoletus
venemous,c195a35480,crotalus-atrox
nonvenemous,ba36d77d65,thamnophis-sirtalis
nonvenemous,ac60cb4c64,lampropeltis-triangulum
nonvenemous,e99babb9da,thamnophis-sirtalis
venemous,3f79415b22,crotalus-atrox
venemous,07a7f4b8a2,agkistrodon-piscivorus
nonvenemous,8713b35996,pantherophis-obsoletus
nonvenemous,8161aa3270,thamnophis-sirtalis
venemous,c084141ebb,agkistrodon-contortrix
nonvenemous,3f264dfa93,storeria-dekayi
nonvenemous,ac29145967,thamnophis-proximus
venemous,14cc5c0b07,crotalus-atrox
nonvenemous,0d53f3592b,pantherophis-emoryi
nonvenemous,339702c73e,thamnophis-sirtalis
nonvenemous,d9282cfc2f,lampropeltis-californiae
nonvenemous,7cbb3598a5,thamnophis-sirtalis
nonvenemous,7d23dd1a25,pituophis-catenifer
nonvenemous,302ae16a4f,thamnophis-sirtalis
venemous,665ce5599e,crotalus-atrox
nonvenemous,7fe9ccee38,thamnophis-sirtalis
nonvenemous,b4ee296fbe,thamnophis-sirtalis
nonvenemous,463302e361,natrix-natrix
nonvenemous,a18b060715,thamnophis-sirtalis
nonvenemous,72b767e027,thamnophis-sirtalis
nonvenemous,28c9bd4b10,thamnophis-sirtalis
nonvenemous,a8cf67b3cd,thamnophis-sirtalis
nonvenemous,dc0bd440c3,opheodrys-aestivus
nonvenemous,1b558cc89f,opheodrys-aestivus
nonvenemous,23a5181788,lampropeltis-californiae
venemous,17e5f4b5bf,crotalus-atrox
nonvenemous,45708c6f17,thamnophis-sirtalis
nonvenemous,90e93122c1,diadophis-punctatus
nonvenemous,9aac958618,lampropeltis-californiae
nonvenemous,23f9ca3329,thamnophis-sirtalis
venemous,3702f63d72,thamnophis-marcianus
nonvenemous,142b516abc,lampropeltis-californiae
venemous,db55095044,crotalus-atrox
venemous,2532449658,agkistrodon-contortrix
venemous,521ce40402,thamnophis-radix
nonvenemous,5bdb8079ed,diadophis-punctatus
nonvenemous,2b88eaac56,lampropeltis-californiae
nonvenemous,f11e311c90,pituophis-catenifer
nonvenemous,75b79378c3,masticophis-flagellum
venemous,8f457bca60,crotalus-atrox
nonvenemous,4aae3ed36b,opheodrys-aestivus
nonvenemous,7e85692fa2,thamnophis-sirtalis
nonvenemous,8557e64d0e,thamnophis-sirtalis
nonvenemous,f590310834,thamnophis-sirtalis
nonvenemous,6ce6de9def,storeria-dekayi
nonvenemous,5e13f84aae,pituophis-catenifer
nonvenemous,3f595dc653,storeria-dekayi
nonvenemous,28fc7c65cc,lampropeltis-californiae
nonvenemous,2e6627723a,thamnophis-sirtalis
nonvenemous,759223778f,thamnophis-sirtalis
nonvenemous,68e08979eb,pantherophis-obsoletus
nonvenemous,b51b666b0a,thamnophis-sirtalis
nonvenemous,1134c2556d,storeria-dekayi
venemous,e10bcc9899,crotalus-atrox
nonvenemous,4d84d06252,pantherophis-obsoletus
nonvenemous,71792ec7f9,thamnophis-sirtalis
nonvenemous,87fff43cf4,pantherophis-alleghaniensis
nonvenemous,d0d91b6a16,pituophis-catenifer
venemous,b1606f2410,agkistrodon-contortrix
nonvenemous,f9a3564f88,thamnophis-sirtalis
nonvenemous,8bdccf2baf,thamnophis-sirtalis
nonvenemous,abbfa54027,lampropeltis-triangulum
nonvenemous,ca469b7a27,thamnophis-sirtalis
nonvenemous,95a51a0fcd,thamnophis-sirtalis
venemous,8ef78ef2d3,agkistrodon-piscivorus
nonvenemous,e21af6d4b9,opheodrys-aestivus
nonvenemous,221b1ee2f1,lampropeltis-triangulum
nonvenemous,b2c3d5d9fb,lampropeltis-californiae
venemous,526c9eac74,crotalus-atrox
nonvenemous,a38e41fd76,thamnophis-sirtalis
nonvenemous,b2ba21f052,thamnophis-sirtalis
nonvenemous,3b9b67ba03,pantherophis-obsoletus
venemous,327b772827,crotalus-atrox
nonvenemous,2afdb4999f,storeria-dekayi
venemous,0cbf1992d0,agkistrodon-contortrix
venemous,c822ae5d01,crotalus-atrox
nonvenemous,5405370c87,pituophis-catenifer
nonvenemous,092388daba,thamnophis-sirtalis
nonvenemous,99a3b654d0,storeria-dekayi
nonvenemous,e0f8e741d4,thamnophis-sirtalis
nonvenemous,5d9cf27241,lampropeltis-californiae
nonvenemous,632bed91e6,thamnophis-sirtalis
nonvenemous,83d7c726d0,thamnophis-sirtalis
nonvenemous,2555c7e7ce,thamnophis-sirtalis
nonvenemous,2b9180fb4f,thamnophis-sirtalis
nonvenemous,e211c36384,pantherophis-obsoletus
nonvenemous,06b96eed56,pituophis-catenifer
venemous,d8fe032fe4,agkistrodon-piscivorus
nonvenemous,366c0f8d42,thamnophis-sirtalis
nonvenemous,be80579760,pituophis-catenifer
nonvenemous,a4ff6226a3,nerodia-sipedon
nonvenemous,53da6f2a06,pituophis-catenifer
nonvenemous,509628b6d3,pantherophis-obsoletus
venemous,75206b0c2d,crotalus-atrox
nonvenemous,c3e988cbe7,nerodia-sipedon
nonvenemous,bf3224d5bb,lampropeltis-californiae
nonvenemous,2d45d24990,thamnophis-sirtalis
nonvenemous,217a85c6a0,pantherophis-obsoletus
nonvenemous,f910b4dafd,lampropeltis-californiae
venemous,dbc89aa6fc,agkistrodon-contortrix
nonvenemous,e0c882d7b5,thamnophis-sirtalis
nonvenemous,bbd20396ee,thamnophis-sirtalis
nonvenemous,a9bd8d4550,nerodia-sipedon
nonvenemous,f9315c3d9d,thamnophis-sirtalis
nonvenemous,c53c61ff1d,thamnophis-sirtalis
venemous,ae76c25b30,crotalus-atrox
venemous,0554b687c1,crotalus-atrox
nonvenemous,8227ee21d5,thamnophis-sirtalis
nonvenemous,e63f970c24,storeria-dekayi
venemous,5a7a965d51,crotalus-atrox
nonvenemous,6f885777ae,storeria-dekayi
nonvenemous,c63d4c04d9,lampropeltis-californiae
venemous,d678d67897,crotalus-atrox
nonvenemous,03d156d9ee,nerodia-sipedon
venemous,39d5cf451b,crotalus-atrox
nonvenemous,c8583aa3f1,thamnophis-sirtalis
nonvenemous,72fd0c7625,pantherophis-guttatus
nonvenemous,89428de91a,thamnophis-sirtalis
nonvenemous,e3ad957f8f,coluber-constrictor
nonvenemous,4b49ad90af,lampropeltis-californiae
nonvenemous,e4ff7155e8,storeria-dekayi
nonvenemous,eaa331f24e,storeria-dekayi
nonvenemous,28edbbefda,pantherophis-obsoletus
nonvenemous,aa1015e3c8,lampropeltis-californiae
nonvenemous,644033bba9,lampropeltis-californiae
nonvenemous,c612cc9390,pantherophis-obsoletus
nonvenemous,6870b31b63,storeria-dekayi
nonvenemous,b22d6d545d,lampropeltis-californiae
nonvenemous,bf1adbeecc,pituophis-catenifer
nonvenemous,16e1861f42,lampropeltis-californiae
venemous,8e7302d0c7,crotalus-atrox
nonvenemous,473b09a338,storeria-dekayi
nonvenemous,80da1ca7fe,thamnophis-sirtalis
nonvenemous,c3e38fc290,pantherophis-guttatus
nonvenemous,901a78b5f6,pituophis-catenifer
nonvenemous,250946e33d,pituophis-catenifer
nonvenemous,71bb3b775f,storeria-dekayi
nonvenemous,58e653c556,lampropeltis-californiae
nonvenemous,ff0d70fb78,thamnophis-sirtalis
nonvenemous,bbbaf02d7b,thamnophis-sirtalis
venemous,a8729cbe08,heterodon-platirhinos
nonvenemous,e754670fa9,pituophis-catenifer
nonvenemous,d51800edfc,thamnophis-sirtalis
nonvenemous,54705e5068,pituophis-catenifer
nonvenemous,2d26350d5f,lampropeltis-californiae
venemous,65ea1d3d84,crotalus-atrox
nonvenemous,fc2019398b,opheodrys-aestivus
venemous,76bc77c3be,crotalus-atrox
nonvenemous,ae5258ea04,thamnophis-sirtalis
nonvenemous,8d8734a395,opheodrys-aestivus
venemous,a6ac17e3d8,crotalus-atrox
venemous,2ca8252168,crotalus-atrox
nonvenemous,d81bbe11bb,thamnophis-sirtalis
nonvenemous,fb1ea63ee1,thamnophis-sirtalis
venemous,d7b6ef28af,crotalus-atrox
nonvenemous,fe015ee591,pituophis-catenifer
nonvenemous,e4f9ad2007,pantherophis-obsoletus
nonvenemous,26758bec6d,nerodia-sipedon
nonvenemous,23dd09c2b6,thamnophis-sirtalis
venemous,7c34e2cdec,thamnophis-marcianus
nonvenemous,6ec294cf12,thamnophis-sirtalis
nonvenemous,36d521dbd5,nerodia-sipedon
nonvenemous,9a6e35d716,coluber-constrictor
nonvenemous,8bbc299a40,lampropeltis-californiae
venemous,fd5e259ea8,crotalus-atrox
nonvenemous,db292dcc3b,thamnophis-sirtalis
nonvenemous,f481c83182,pantherophis-alleghaniensis
nonvenemous,4245d68d46,pituophis-catenifer
nonvenemous,59e640bb91,lampropeltis-californiae
nonvenemous,36c233f563,pantherophis-obsoletus
nonvenemous,bc3799b2df,thamnophis-sirtalis
